Message Size               Bandwidth               Message Rate
    in bytes           in mbytes/sec                in msgs/sec
           1                    0.54                  537242.99
           2                    1.12                  558269.99
           4                    2.45                  613285.54
           8                    4.75                  593431.85
          16                    9.43                  589451.49
          32                   19.16                  598647.69
          64                   37.79                  590519.61
         128                   69.84                  545637.43
         256                  128.06                  500242.82
         512                  267.78                  523014.06
        1024                  527.86                  515492.27
        2048                 1042.39                  508981.69
        4096                 2054.49                  501584.60
        8192                 4180.23                  510281.53
       16384                 8673.99                  529418.41
       32768                15893.21                  485022.13
       65536                24212.36                  369451.33
      131072                24587.71                  187589.37
      262144                24599.21                   93838.53
      524288                24598.03                   46917.01
     1048576                24598.24                   23458.71
     2097152                24598.76                   11729.60
     4194304                24598.42                    5864.72
     8388608                24599.20                    2932.45
