Message Size               Bandwidth               Message Rate
    in bytes           in mbytes/sec                in msgs/sec
           1                    0.20                  203955.86
           2                    0.52                  261242.05
           4                    1.05                  263641.36
           8                    2.02                  252678.91
          16                    4.15                  259359.88
          32                    7.61                  237884.90
          64                   16.00                  250033.23
         128                   30.44                  237832.92
         256                   52.39                  204634.78
         512                  103.37                  201896.37
        1024                  205.93                  201105.94
        2048                  413.13                  201722.58
        4096                  755.20                  184375.84
        8192                  963.66                  117634.18
       16384                 1424.68                   86955.63
       32768                 2487.33                   75907.16
       65536                 4639.72                   70796.52
      131072                 7113.56                   54272.18
      262144                 8412.00                   32089.24
      524288                12470.33                   23785.27
     1048576                16714.07                   15939.78
     2097152                20209.80                    9636.78
     4194304                22368.91                    5333.16
     8388608                23543.10                    2806.56
